address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x0d78…1f52,38743.31120917702,0,0
0x0d88…8f4e,3097.281139205345,0,0
0x0d9d…3eb4,1208.0828813859937,0,0
0x0d9f…7ae5,54524.897243,2,2109.186282825
0x0da5…34f8,1990.6002142876637,0,0
0x0da7…14c2,300805.9432320441,0,0
0x0da9…45cb,1332.3570778735773,0,0
0x0db0…b87c,245.57320766317767,7,453.44579280000005
0x0db1…a219,1653124.4586811087,0,0
0x0db8…d85f,4742826.227355902,0,0
0x0dbc…a1ba,34475.21612894061,0,0
0x0dbf…618b,17669.637884810178,0,0
0x0dca…494b,1049981.110097384,0,0
0x0dd6…fdc6,103.88270226084617,0,0
0x0ddc…740a,9706.766227510052,1,154.09926805241778
0x0dde…c467,117800.64378729762,0,0
0x0dde…b5c4,248.578259,0,0
0x0dde…5940,23963.001189434715,1,382.3767587442188
0x0dfb…3b76,29362.557012370024,0,0
0x0e03…4b9e,143728.58541162542,0,0
0x0e09…b8df,13211.180329733419,0,0
0x0e0d…a1e7,54510.24000060674,0,0
0x0e12…b79b,492.7268151329133,18,30788.184305551666
0x0e19…ffb2,3696.541223120423,0,0
0x0e25…d0a1,597.2724522989906,2,60.719599368749996
0x0e29…327e,165.11416869061878,0,0
0x0e39…fd22,261.1959584524207,0,0
0x0e42…f90e,165.0978543283883,0,0
0x0e64…d92a,165.0978543283883,0,0
0x0e70…c77f,278.78301899999997,0,0
0x0e71…1a4b,792037.4127305812,0,0
0x0e82…d4cb,165.0978543283883,0,0
0x0e86…faf7,4778.736561369237,0,0
0x0e8b…b302,5451.820615000377,5,789.2241326357946
0x0e94…a079,500,0,0
0x0ea4…6e96,117439.21939230207,0,0
0x0ea4…6603,306526.5398182315,0,0
0x0ea5…18df,15841.67310067244,0,0
0x0eb2…9784,262.53219624404574,3,55.3985724075
0x0ec5…7021,10980.269688102368,0,0
0x0eca…206f,1767.8177557176873,3,1003.009384167786
0x0ede…c413,181618.53543011154,0,0
0x0ee0…2ee3,708.1744238820563,0,0
0x0ee6…f4fe,3788.6917540426657,0,0
0x0f0b…e4c2,7620.723556020047,0,0
0x0f1d…38b8,3839146.458135095,0,0
0x0f24…1354,567.1105468966246,1,35.391697269876516
0x0f24…8482,277054.7861256082,0,0
0x0f28…afab,18305.07373082845,0,0
0x0f29…457b,16842.260834371,0,0
0x0f2a…4343,2101.1842454929583,2,411.81154265737484
0x0f33…de06,165.0978543283883,0,0
0x0f39…b040,241.78909412477068,2,34.57246238134497
0x0f40…9b70,16701.40708295435,0,0
0x0f4e…47a9,57784.25173846601,0,0
0x0f7c…16d5,357.63879720427207,0,0
0x0f97…4496,220001.039315,0,0
0x0faa…4bc7,167964.35362967313,0,0
0x0fb5…7319,5845234.535124743,0,0
0x0fb9…6308,150379.3095420076,0,0
0x0fc4…3fbf,1065977.778799564,0,0
0x0fe2…69e2,526612.8133369703,0,0
0x0fe6…d663,262707.3239517432,0,0
0x0fea…1707,576977.9906648103,0,0
0x0feb…c167,3626.813325114135,0,0
0x0fed…d043,934.4853642274833,10,14508.49499770995
0x0ffc…af73,639.0118438477743,6,875.7753410858691
0x1000…d731,2296.342949868045,0,0
0x100f…c872,1941.67357,0,0
0x100f…0226,82863.83284977269,0,0
0x1012…26ea,7522406.825287148,0,0
0x103b…5b3b,216.6262580354247,0,0
0x1047…cf21,430369.13230732223,0,0
0x104f…aa04,153.2163589942287,4,318.35457243384536
0x1069…d2bd,464.5105436219135,6,1272.6895423463336
0x106d…6955,28610.133154049512,0,0
0x1082…85e3,165.0978543283883,0,0
0x1085…6a3a,50735.9769188067,0,0
0x108a…a651,115697.49279909636,0,0
0x108d…147c,12253.576649183358,0,0
0x108d…e97b,108.95607733326624,5,112.7696394486338
0x1092…d09b,295.415705815605,0,0
0x1098…805e,21242.114603166116,0,0
0x10a1…008e,63130.94752667054,3,7970.148437973153
0x10a7…175a,62198.51562351027,0,0
0x10c3…33d6,238.54292650233378,0,0
0x10c4…6069,112.27849674692968,0,0
0x10ca…58e8,37328.83668511862,0,0
0x10da…5c6b,224519.02500093472,0,0
0x10f7…d202,179.85995938556005,3,53.86244922500855
0x10fb…08ea,1650.978543283883,0,0
0x10fe…d58a,803.0561903929436,0,0
0x1105…e6da,886.5830364215105,0,0
0x1109…0da9,3762.331333465682,0,0
0x1111…c42e,50548901.29942565,0,0
0x111d…d872,1905.7723392519779,4,670.9989622079937
0x112b…8848,26083.968859017106,0,0
0x1132…8da2,3331.349508379404,0,0
0x1135…a010,1485.8806889554949,0,0
0x1136…2f4c,152.82331496470022,3,13.518096208229853
0x114e…2cd5,23058.47093309822,0,0
0x1164…b811,80156.63264218836,0,0
0x1166…764b,80068.68721065932,1,25228.90818971708
0x1173…cc64,407.2649012273902,10,3446.0374113794924
0x1182…b508,383202.5529691502,0,0
0x1187…0ee1,85596.23990895443,0,0
0x1190…986a,205034.3794048266,0,0
0x1193…17a6,568.1115808061561,0,0
0x1195…3548,1464.962176893419,8,879.3943874631359
0x1198…5d24,8238.272173960626,1,436.60675268759496
0x11b1…888e,783.6780442334998,4,250.75390478880757
0x11b2…17f3,693.270583,5,572.449537695
0x11b5…a90a,2974.8580021032362,0,0
0x11b7…48c2,209697.13008516323,0,0
0x11b8…c1c3,2030.2383523965118,15,21273.58655190507
0x11bf…1462,1477.0319938154066,7,3070.645710057585
0x11c1…d7e9,30586.32612904116,0,0
0x11c3…26a6,114785.28590922653,0,0
0x11cb…c9aa,2574.2873078533585,1,103.02148662269776
0x11db…8c9e,1376.6587874597942,6,462.46505987011324
0x11db…b5be,4514.9128439999995,0,0
0x11df…70cd,840.1138496976421,0,0
0x11f4…87ee,25749.644071024413,0,0
0x11f4…3315,126576.344568,0,0
0x120a…73b5,47295.04858007226,0,0
0x120e…daab,1169.166256,0,0
0x120f…ec7b,267.23805122797074,4,160.15377029311048
0x121a…9b10,20000,0,0
0x121e…2600,21312.685484575242,0,0
0x124e…8cbe,2985.734785559714,0,0
0x124f…9cac,192839.70291023838,0,0
0x125f…78b1,1959.5618719216977,6,2146.467128178382
0x126a…b41d,26916.221434394887,0,0
0x127e…a5d9,1816076.3976122714,0,0
0x128e…4326,3544.0155045396245,19,83216.40510839295
0x1290…f1fb,245.1500115622827,7,789.767379107555
0x1291…b01b,74108.28396161277,0,0
0x1298…ec31,165.0978543283883,0,0
0x129d…de16,150.24666021360227,12,595.6314540602198
0x129e…af94,8091.453484507896,0,0
0x12a3…0784,17981.32834457661,0,0
0x12af…eb06,220443.2807992741,0,0
0x12cb…5509,330.2292947840367,0,0
0x12f0…2392,33019.57086567766,0,0
0x12fa…f132,56031.817798,1,1651.8509665207216
0x1311…1f6c,253033.8548263233,0,0
0x1314…307c,30707.45968342366,0,0
0x131a…368b,6472.969101946366,0,0
0x1326…03d2,1081.6922920715717,3,218.45463234144057
0x1329…f538,6824671.477218732,0,0
0x132f…bb21,165.0978543283883,0,0
0x1344…65fa,111.8346644543587,0,0
0x1345…6056,3391516.667238,0,0
0x134c…c78b,2194.450901429958,3,159.43984843024722
0x1361…a7b4,990.2204041129291,0,0
0x137c…c12f,3071.279283,0,0
0x1386…0355,1170.540749172634,5,7.01458566125518
0x138d…eca3,17199.318347692846,0,0
0x1390…c062,114210.26324172922,0,0
0x1394…d600,21853.810011374295,0,0
0x1396…4253,3817.667171817163,0,0
0x1399…0f1e,165.0978543283883,0,0
0x139b…6922,1485.8806889554949,0,0
0x13b2…8725,696.820223630956,3,154.45233982463395
0x13b6…fee1,7546.166431310876,0,0
0x13c7…dd86,305.7622140946391,23,4880.51065266513
0x13ce…0bdd,590.8483453965572,0,0
0x13d9…ce33,89132.69554176569,4,43518.77270453988
0x13e1…b551,848146.4843175291,0,0
0x13e5…9d7b,16562.635122266845,0,0
0x13fa…6b2f,36690.03851817708,0,0
0x1408…2b6c,144.45377470641733,0,0
0x1412…9f89,49529.3562985165,0,0
0x1424…8cfd,1907923.421232798,0,0
0x143e…4126,7357.881496686996,0,0
0x143e…6179,251968.0519092524,0,0
0x1441…60e5,664.7792828091679,5,842.5811721524616
0x144c…8837,1335.501409093472,0,0
0x1459…bf80,115568.49802987181,0,0
0x148d…9756,168.71893923641377,0,0
0x14a3…92e9,134.392639,0,0
0x14af…5dc2,1897.696450104335,6,2635.2056579157124
0x14be…bd8e,132.07828346271066,0,0
0x14c8…6a46,11791.231399954431,0,0
0x14c9…fa77,139.25049508334175,2,10.787419164375
0x14ce…f65e,31820.380924362325,0,0
0x14fd…e48c,791.6963969754242,0,0
0x1506…7fbe,164.09474136948756,6,326.40636787111157
0x1509…1287,1162.9980150930076,2,115.79432508942799
0x150f…dff8,20294.711301796913,0,0
0x1518…ff6a,6065.24036586498,2,428.7536418375
0x1534…7cba,491708.99974627973,0,0
0x1539…7f40,59980.06466898763,0,0
0x1539…c373,175.1387690269292,32,22864.802918761805
0x154a…856a,385277.042710676,0,0
0x154c…40a9,1260.6336822613832,0,0
0x1569…588a,751.6929909202998,4,253.1424553659109
0x1576…357d,3351.486442866283,0,0
0x1586…f9f4,350516.2878173913,0,0
0x1590…6d81,945.0818808374892,4,283.0601949835732
0x15a3…0dcf,258.72594606112926,0,0
0x15bc…5f74,46798.63521438713,0,0
0x15db…964d,554.2032309781698,2,42.674344705910386
0x15e7…4aa0,1571278.7634041223,0,0
0x1623…eae2,133.5286110560274,0,0
0x1624…c39c,25850.69909409102,3,9555.721535265528
0x1637…3a87,41744.45597834325,0,0
0x163f…1309,30574.504311813896,0,0
0x1666…268e,9219.204989542244,1,238.59331117281545
0x1667…333d,10007535.039602775,0,0
0x1677…7493,19447.852924161092,0,0
0x1679…96fc,479734.84854948765,0,0
0x167b…2a40,166001.55974821025,0,0
0x1680…0dce,132766.18439036843,0,0
0x168c…74c4,9046.619127777562,0,0
0x16a0…9fbd,242.3477532734714,5,217.8139814443638
0x16aa…ad87,1633.2723087029183,0,0
0x16ab…a893,21376.938131123523,12,31562.893349802187
0x16af…74a5,864736.1728846359,1,32504.692275272697
0x16ba…ac99,288032.2151597232,0,0
0x16dc…d07a,3264.074531082258,0,0
0x16ec…bf5f,126172.62619692714,0,0
0x1700…5fa4,835.923119971765,0,0
0x1709…27d5,14817.298676558155,0,0
0x170c…b2ea,45819.34259006582,0,0
0x1712…16fe,644580.2568575626,0,0
0x1712…95de,156.9991782481083,19,2070.5612421255414
0x1723…3db3,59905.8712597033,0,0
0x1748…ee1d,35236.07545379277,0,0
0x174a…66d2,5223.898273455321,0,0
0x1754…c5e0,165.0978543283883,0,0
0x1758…146a,92344.21005479204,4,32739.804100304733
